trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,8.01,,
2,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,4.36,,
3,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,3.8,,
4,1,True,0,14,0,13,1,,,,catch,0,,1,,0,0,3.33,,
5,1,True,1,14,1,10,1,,,,catch,0,,1,,0,0,4.95,,
6,1,True,1,13,0,9,0,,,,catch,0,,1,,0,0,9.44,,
7,1,True,0,14,0,7,1,,,,catch,0,,1,,0,0,3.3,,
8,1,True,1,14,1,16,1,,,,catch,0,,1,,0,0,4.23,,
9,1,True,0,13,0,16,1,,,,catch,0,,1,,0,0,2.75,,
10,1,True,0,13,0,23,1,,,,catch,0,,1,,0,0,2.64,,
11,1,True,1,12,0,4,0,,,,catch,0,,1,,0,0,4.31,,
12,1,True,0,13,0,16,1,,,,catch,0,,1,,0,0,3.34,,
13,1,True,0,13,1,17,0,,,,catch,0,,1,,0,0,2.6,,
14,1,True,0,14,0,17,1,,,,catch,0,,1,,0,0,2.48,,
15,1,True,1,14,0,9,0,,,,catch,0,,1,,0,0,2.92,,
16,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.79,,
17,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,3.16,,
18,1,True,0,14,1,16,0,,,,catch,0,,1,,0,0,2.56,,
19,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.97,,
20,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,3.17,,
21,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.79,,
22,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.54,,
23,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,2.55,,
24,1,True,1,14,1,19,1,,,,catch,0,,1,,0,0,2.64,,
25,1,True,1,13,0,8,0,,,,catch,0,,1,,0,0,4.07,,
26,1,True,0,14,0,20,1,,,,catch,0,,1,,0,0,2.38,,
27,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,2.51,,
28,1,True,0,13,1,5,0,,,,catch,0,,1,,0,0,2.39,,
29,1,True,1,14,0,9,0,,,,catch,0,,1,,0,0,2.59,,
30,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,2.95,,
31,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,3.77,,
32,2,True,0,14,0,24,1,,,,catch,0,,1,,0,0,2.72,,
33,2,True,1,14,1,5,1,,,,catch,0,,1,,0,0,2.34,,
34,2,True,1,13,0,9,0,,,,catch,0,,1,,0,0,3.33,,
35,2,True,1,14,1,13,1,,,,catch,0,,1,,0,0,2.21,,
36,2,True,0,14,1,11,0,,,,catch,0,,1,,0,0,2.46,,
37,2,True,0,15,0,20,1,,,,catch,0,,1,,0,0,2.79,,
38,2,True,0,15,0,15,1,,,,catch,0,,1,,0,0,2.42,,
39,2,True,0,14,0,13,1,,,,catch,0,,1,,0,0,3.58,,
40,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,2.95,,
41,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,3.16,,
42,2,True,0,13,0,21,1,,,,catch,0,,1,,0,0,3.17,,
43,2,True,0,12,0,5,1,,,,catch,0,,1,,0,0,2.65,,
44,2,True,0,12,1,10,0,,,,catch,0,,1,,0,0,2.74,,
45,2,True,0,13,0,22,1,,,,catch,0,,1,,0,0,2.55,,
46,2,True,0,13,0,6,1,,,,catch,0,,1,,0,0,3.43,,
47,2,True,0,12,0,14,1,,,,catch,0,,1,,0,0,2.82,,
48,2,True,1,12,0,3,0,,,,catch,0,,1,,0,0,3.49,,
49,2,True,0,13,1,6,0,,,,catch,0,,1,,0,0,2.85,,
50,2,True,0,14,0,17,1,,,,catch,0,,1,,0,0,2.66,,
51,2,True,0,14,0,21,1,,,,catch,0,,1,,0,0,2.5,,
52,2,True,0,13,0,7,1,,,,catch,0,,1,,0,0,2.54,,
53,2,True,1,13,1,11,1,,,,catch,0,,1,,0,0,2.45,,
54,2,True,1,12,1,8,1,,,,catch,0,,1,,0,0,2.19,,
55,2,True,1,12,1,13,1,,,,catch,0,,1,,0,0,3.98,,
56,2,True,0,11,0,13,1,,,,catch,0,,1,,0,0,2.68,,
57,2,True,0,11,0,4,1,,,,catch,0,,1,,0,0,2.85,,
58,2,True,0,10,0,1,1,,,,catch,0,,1,,0,0,3.44,,
59,2,True,1,10,1,4,1,,,,catch,0,,1,,0,0,4.48,,
60,2,True,0,9,0,5,1,,,,catch,0,,1,,0,0,3.18,,
61,3,False,0,9,0,4,1,0,4,1,forceblk4,2,2,0,0,1,0,6.41,14.71,15.73
62,3,False,0,9,1,5,0,0,6,1,forceblk4,1,1,0,0,1,0,4.14,7.87,8.89
63,3,False,0,9,0,7,1,0,7,1,forceblk4,2,2,0,0,1,0,2.56,2.59,3.61
64,3,False,0,9,0,10,1,0,9,1,forceblk4,1,1,0,0,1,0,3.21,2.63,3.64
65,3,False,1,9,0,3,0,1,6,1,forceblk4,2,2,0,1,1,0,2.9,2.59,3.6
66,3,False,0,9,0,7,1,1,6,0,forceblk4,1,1,0,1,0,0,3.73,3.9,4.92
67,3,False,0,9,0,6,1,1,6,0,forceblk4,2,2,0,1,0,0,2.59,2.61,3.63
68,3,False,1,9,1,9,1,1,10,1,forceblk4,1,1,0,1,1,0,2.85,2.41,3.42
69,3,False,0,9,0,13,1,0,13,1,forceblk4,2,2,0,0,1,0,2.26,2.48,3.49
70,3,False,1,9,1,9,1,1,5,1,forceblk4,1,1,0,0,0,0,2.29,4.03,5.04
71,3,False,0,9,0,12,1,0,14,1,forceblk4,2,2,0,0,1,0,2.57,2.38,3.4
72,3,False,0,9,0,16,1,0,9,1,forceblk4,1,1,0,1,0,0,2.34,2.51,3.53
