trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,24.22,,
2,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,125.65,,
3,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,6.06,,
4,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,5.01,,
5,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,2.17,,
6,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,3.37,,
7,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,2.79,,
8,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,2.08,,
9,1,True,1,13,1,17,1,,,,catch,0,,1,,0,0,2.08,,
10,1,True,0,13,1,30,0,,,,catch,0,,1,,0,0,3.09,,
11,1,True,1,14,0,21,0,,,,catch,0,,1,,0,0,1.8,,
12,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.95,,
13,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.07,,
14,1,True,0,14,0,25,1,,,,catch,0,,1,,0,0,2.16,,
15,1,True,1,14,1,32,1,,,,catch,0,,1,,0,0,3.01,,
16,1,True,0,13,0,30,1,,,,catch,0,,1,,0,0,1.51,,
17,1,True,0,13,0,28,1,,,,catch,0,,1,,0,0,1.62,,
18,1,True,0,12,1,20,0,,,,catch,0,,1,,0,0,1.97,,
19,1,True,0,13,1,14,0,,,,catch,0,,1,,0,0,1.64,,
20,1,True,0,14,0,32,1,,,,catch,0,,1,,0,0,2.15,,
21,1,True,1,14,1,39,1,,,,catch,0,,1,,0,0,3.05,,
22,1,True,0,13,1,6,0,,,,catch,0,,1,,0,0,3.45,,
23,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,1.67,,
24,1,True,1,14,0,27,0,,,,catch,0,,1,,0,0,2.57,,
25,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,1.36,,
26,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,1.63,,
27,1,True,0,15,1,34,0,,,,catch,0,,1,,0,0,6.51,,
28,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.58,,
29,1,True,0,15,0,27,1,,,,catch,0,,1,,0,0,1.68,,
30,1,True,1,15,1,39,1,,,,catch,0,,1,,0,0,2.34,,
31,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.81,,
32,2,True,1,15,1,32,1,,,,catch,0,,1,,0,0,1.41,,
33,2,True,0,15,0,22,1,,,,catch,0,,1,,0,0,3.46,,
34,2,True,1,14,1,33,1,,,,catch,0,,1,,0,0,1.74,,
35,2,True,1,14,0,29,0,,,,catch,0,,1,,0,0,1.54,,
36,2,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.63,,
37,2,True,1,15,0,5,0,,,,catch,0,,1,,0,0,1.75,,
38,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,2.55,,
39,2,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.77,,
40,2,True,0,14,1,4,0,,,,catch,0,,1,,0,0,2.84,,
41,2,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.45,,
42,2,True,0,15,0,27,1,,,,catch,0,,1,,0,0,1.63,,
43,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,2.17,,
44,2,True,1,14,1,42,1,,,,catch,0,,1,,0,0,1.59,,
45,2,True,0,13,0,9,1,,,,catch,0,,1,,0,0,1.62,,
46,2,True,0,13,0,24,1,,,,catch,0,,1,,0,0,1.43,,
47,2,True,1,12,1,38,1,,,,catch,0,,1,,0,0,1.73,,
48,2,True,1,12,1,19,1,,,,catch,0,,1,,0,0,1.64,,
49,2,True,1,11,1,11,1,,,,catch,0,,1,,0,0,1.87,,
50,2,True,0,11,0,35,1,,,,catch,0,,1,,0,0,1.62,,
51,2,True,1,10,1,35,1,,,,catch,0,,1,,0,0,1.59,,
52,2,True,0,10,0,10,1,,,,catch,0,,1,,0,0,1.3,,
53,2,True,1,9,1,34,1,,,,catch,0,,1,,0,0,1.49,,
54,2,True,0,9,1,4,0,,,,catch,0,,1,,0,0,2.35,,
55,2,True,1,10,1,32,1,,,,catch,0,,1,,0,0,1.94,,
56,2,True,0,10,0,32,1,,,,catch,0,,1,,0,0,1.71,,
57,2,True,0,9,0,8,1,,,,catch,0,,1,,0,0,1.46,,
58,2,True,0,9,1,42,0,,,,catch,0,,1,,0,0,1.77,,
59,2,True,0,10,1,4,0,,,,catch,0,,1,,0,0,2.98,,
60,2,True,1,11,1,47,1,,,,catch,0,,1,,0,0,1.79,,
61,3,False,0,11,1,6,0,0,11,1,forceblk4,2,2,0,0,1,0,4.89,7.55,8.56
62,3,False,0,11,0,23,1,0,23,1,forceblk4,1,1,0,0,1,0,1.48,1.8,2.81
63,3,False,0,11,1,31,0,1,31,0,forceblk4,2,2,0,1,0,0,1.75,4.09,5.1
64,3,False,1,11,1,24,1,1,24,1,forceblk4,1,1,0,1,1,0,1.71,1.75,2.75
65,3,False,1,11,0,5,0,0,5,0,forceblk4,2,2,0,1,1,0,2.98,1.88,2.88
66,3,False,1,11,1,40,1,1,40,1,forceblk4,2,2,0,1,1,0,1.56,1.46,2.46
67,3,False,0,11,1,19,0,1,19,0,forceblk4,1,1,0,1,0,0,1.3,1.55,2.55
68,3,False,1,11,1,39,1,1,39,1,forceblk4,1,1,0,1,1,0,1.42,1.55,2.56
