trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,9.99,,
2,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,5.14,,
3,1,True,1,15,1,32,1,,,,catch,0,,1,,0,0,2.58,,
4,1,True,0,14,1,29,0,,,,catch,0,,1,,0,0,4.06,,
5,1,True,0,15,1,28,0,,,,catch,0,,1,,0,0,2.21,,
6,1,True,0,15,1,33,0,,,,catch,0,,1,,0,0,2.23,,
7,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.93,,
8,1,True,1,15,1,35,1,,,,catch,0,,1,,0,0,2.22,,
9,1,True,1,14,1,50,1,,,,catch,0,,1,,0,0,2.59,,
10,1,True,1,14,0,41,0,,,,catch,0,,1,,0,0,2.02,,
11,1,True,1,15,0,43,0,,,,catch,0,,1,,0,0,1.93,,
12,1,True,0,15,1,41,0,,,,catch,0,,1,,0,0,1.99,,
13,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,4.41,,
14,1,True,1,15,1,50,1,,,,catch,0,,1,,0,0,2.73,,
15,1,True,1,15,0,15,0,,,,catch,0,,1,,0,0,2.02,,
16,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.44,,
17,1,True,1,15,0,29,0,,,,catch,0,,1,,0,0,1.82,,
18,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,5.72,,
19,1,True,0,15,0,34,1,,,,catch,0,,1,,0,0,1.65,,
20,1,True,1,14,1,48,1,,,,catch,0,,1,,0,0,1.81,,
21,1,True,1,14,0,30,0,,,,catch,0,,1,,0,0,3.59,,
22,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.89,,
23,1,True,1,15,1,43,1,,,,catch,0,,1,,0,0,1.53,,
24,1,True,1,14,1,42,1,,,,catch,0,,1,,0,0,1.76,,
25,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,2.22,,
26,1,True,0,13,0,29,1,,,,catch,0,,1,,0,0,1.82,,
27,1,True,0,13,0,30,1,,,,catch,0,,1,,0,0,1.71,,
28,1,True,0,12,0,17,1,,,,catch,0,,1,,0,0,3.42,,
29,1,True,0,12,0,13,1,,,,catch,0,,1,,0,0,2.08,,
30,1,True,1,11,1,20,1,,,,catch,0,,1,,0,0,1.98,,
31,2,True,0,11,0,31,1,,,,catch,0,,1,,0,0,1.69,,
32,2,True,1,10,1,38,1,,,,catch,0,,1,,0,0,1.76,,
33,2,True,1,10,1,35,1,,,,catch,0,,1,,0,0,1.73,,
34,2,True,0,9,0,31,1,,,,catch,0,,1,,0,0,1.92,,
35,2,True,1,9,0,28,0,,,,catch,0,,1,,0,0,2.19,,
36,2,True,1,10,1,32,1,,,,catch,0,,1,,0,0,1.64,,
37,2,True,0,10,0,34,1,,,,catch,0,,1,,0,0,2.46,,
38,2,True,0,9,1,33,0,,,,catch,0,,1,,0,0,1.95,,
39,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,2.25,,
40,2,True,1,10,0,1,0,,,,catch,0,,1,,0,0,3.76,,
41,2,True,0,11,1,50,0,,,,catch,0,,1,,0,0,2.42,,
42,2,True,0,12,0,50,1,,,,catch,0,,1,,0,0,1.52,,
43,2,True,0,12,1,24,0,,,,catch,0,,1,,0,0,1.57,,
44,2,True,1,13,1,29,1,,,,catch,0,,1,,0,0,1.38,,
45,2,True,1,13,1,35,1,,,,catch,0,,1,,0,0,1.48,,
46,2,True,1,12,0,40,0,,,,catch,0,,1,,0,0,1.69,,
47,2,True,1,13,0,31,0,,,,catch,0,,1,,0,0,1.86,,
48,2,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.81,,
49,2,True,0,15,1,31,0,,,,catch,0,,1,,0,0,2.56,,
50,2,True,1,15,1,37,1,,,,catch,0,,1,,0,0,1.42,,
51,2,True,0,15,0,39,1,,,,catch,0,,1,,0,0,2.71,,
52,2,True,0,14,0,36,1,,,,catch,0,,1,,0,0,1.72,,
53,2,True,1,14,1,37,1,,,,catch,0,,1,,0,0,1.57,,
54,2,True,1,13,1,41,1,,,,catch,0,,1,,0,0,2.13,,
55,2,True,0,13,0,44,1,,,,catch,0,,1,,0,0,1.65,,
56,2,True,1,12,1,40,1,,,,catch,0,,1,,0,0,2.12,,
57,2,True,1,12,1,40,1,,,,catch,0,,1,,0,0,1.98,,
58,2,True,1,11,1,45,1,,,,catch,0,,1,,0,0,1.61,,
59,2,True,0,11,0,12,1,,,,catch,0,,1,,0,0,2.1,,
60,2,True,0,10,0,20,1,,,,catch,0,,1,,0,0,1.93,,
61,3,False,1,10,1,30,1,1,50,1,forceblk4,1,1,0,1,1,0,4.33,10.26,11.27
62,3,False,0,10,0,43,1,0,45,1,forceblk4,1,1,0,0,1,0,3.14,3.53,4.54
63,3,False,1,10,0,43,0,1,50,1,forceblk4,2,2,0,1,1,0,2.75,2.28,3.28
64,3,False,0,10,1,39,0,1,50,0,forceblk4,2,2,0,1,0,0,1.96,1.65,2.66
65,3,False,0,10,0,43,1,0,44,1,forceblk4,1,1,0,0,1,0,2.5,3.26,4.27
66,3,False,0,10,0,2,1,1,13,0,forceblk4,2,2,0,1,0,0,21.78,2.96,3.96
67,3,False,0,10,1,29,0,1,33,0,forceblk4,1,1,0,0,1,0,2.38,2.13,3.13
68,3,False,0,10,1,24,0,1,27,0,forceblk4,2,2,0,1,0,0,1.81,1.43,2.43
69,3,False,0,10,0,31,1,1,38,0,forceblk4,1,1,0,1,0,0,2.14,2.65,3.65
70,3,False,1,10,1,32,1,1,35,1,forceblk4,1,1,0,1,1,0,2.23,42.72,43.72
71,3,False,0,10,1,32,0,1,35,0,forceblk4,2,2,0,0,1,0,5.68,1.48,2.49
72,3,False,0,10,1,39,0,1,39,0,forceblk4,1,1,0,0,1,0,2.21,4.19,5.19
73,3,False,0,10,0,43,1,0,44,1,forceblk4,2,2,0,1,0,0,2.01,1.59,2.6
74,3,False,1,10,0,45,0,0,45,0,forceblk4,1,1,0,1,1,0,1.67,1.88,2.89
75,3,False,1,10,0,46,0,0,46,0,forceblk4,2,2,0,1,1,0,1.66,2.57,3.57
76,3,False,0,10,1,44,0,0,31,1,forceblk4,1,1,0,0,1,0,1.61,7.3,8.3
77,3,False,0,10,0,40,1,0,40,1,forceblk4,2,2,0,0,1,0,24.76,1.51,2.51
78,3,False,1,10,0,47,0,0,46,0,forceblk4,1,1,0,0,0,0,2.16,4.79,5.8
79,3,False,0,10,0,1,1,1,2,0,forceblk4,2,2,0,1,0,0,37.56,3.39,4.4
80,3,False,1,10,0,1,0,0,2,0,forceblk4,1,1,0,0,0,0,2.48,1.42,2.42
81,3,False,1,10,0,2,0,0,2,0,forceblk4,2,2,0,0,0,0,1.69,43.06,44.06
82,3,False,1,10,0,36,0,0,35,0,forceblk4,2,2,0,1,1,0,2.13,2.22,3.22
83,3,False,1,10,0,39,0,0,39,0,forceblk4,1,1,0,1,1,0,1.69,1.91,2.91
