trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,5.83,,
2,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.89,,
3,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,4.51,,
4,1,True,1,14,1,6,1,,,,catch,0,,1,,0,0,2.56,,
5,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,2.65,,
6,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.49,,
7,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.88,,
8,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.56,,
9,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.45,,
10,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,2.27,,
11,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,1.84,,
12,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.95,,
13,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.71,,
14,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,1.84,,
15,1,True,0,14,0,9,1,,,,catch,0,,1,,0,0,2.24,,
16,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.59,,
17,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.62,,
18,1,True,1,12,0,7,0,,,,catch,0,,1,,0,0,1.65,,
19,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.49,,
20,1,True,0,13,0,43,1,,,,catch,0,,1,,0,0,1.68,,
21,1,True,0,12,0,43,1,,,,catch,0,,1,,0,0,1.64,,
22,1,True,1,12,0,34,0,,,,catch,0,,1,,0,0,1.5,,
23,1,True,1,13,0,22,0,,,,catch,0,,1,,0,0,1.67,,
24,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,1.83,,
25,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,2.13,,
26,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,1.81,,
27,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,1.73,,
28,1,True,1,14,0,13,0,,,,catch,0,,1,,0,0,1.59,,
29,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.58,,
30,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.6,,
31,2,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.78,,
32,2,True,0,14,1,6,0,,,,catch,0,,1,,0,0,1.96,,
33,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.45,,
34,2,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.35,,
35,2,True,1,15,0,17,0,,,,catch,0,,1,,0,0,1.72,,
36,2,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.47,,
37,2,True,0,15,0,35,1,,,,catch,0,,1,,0,0,1.46,,
38,2,True,0,14,0,37,1,,,,catch,0,,1,,0,0,1.73,,
39,2,True,0,14,0,25,1,,,,catch,0,,1,,0,0,1.4,,
40,2,True,0,13,0,37,1,,,,catch,0,,1,,0,0,1.43,,
41,2,True,1,13,0,50,0,,,,catch,0,,1,,0,0,1.83,,
42,2,True,1,14,0,21,0,,,,catch,0,,1,,0,0,1.52,,
43,2,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.72,,
44,2,True,1,15,0,50,0,,,,catch,0,,1,,0,0,2.06,,
45,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.55,,
46,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.41,,
47,2,True,1,14,1,9,1,,,,catch,0,,1,,0,0,2.06,,
48,2,True,1,14,0,7,0,,,,catch,0,,1,,0,0,1.98,,
49,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.38,,
50,2,True,0,15,0,24,1,,,,catch,0,,1,,0,0,1.51,,
51,2,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.6,,
52,2,True,0,14,0,45,1,,,,catch,0,,1,,0,0,1.81,,
53,2,True,1,13,0,43,0,,,,catch,0,,1,,0,0,2.16,,
54,2,True,0,14,0,41,1,,,,catch,0,,1,,0,0,1.39,,
55,2,True,0,14,0,50,1,,,,catch,0,,1,,0,0,1.6,,
56,2,True,0,13,0,31,1,,,,catch,0,,1,,0,0,1.29,,
57,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.51,,
58,2,True,1,12,1,8,1,,,,catch,0,,1,,0,0,1.86,,
59,2,True,1,12,0,7,0,,,,catch,0,,1,,0,0,1.68,,
60,2,True,1,13,1,5,1,,,,catch,0,,1,,0,0,1.63,,
61,3,False,0,13,0,14,1,0,34,1,forceblk4,1,1,0,0,1,0,2.35,3.7,4.71
62,3,False,0,13,0,21,1,0,13,1,forceblk4,2,2,0,1,0,0,1.9,4.75,5.76
63,3,False,0,13,0,15,1,0,16,1,forceblk4,1,1,0,0,1,0,1.89,2.57,3.58
64,3,False,1,13,0,7,0,1,1,1,forceblk4,2,2,0,1,1,0,1.88,2.76,3.77
65,3,False,1,13,0,10,0,0,8,0,forceblk4,1,1,0,1,1,0,1.63,2.65,3.65
66,3,False,1,13,1,6,1,1,8,1,forceblk4,2,2,0,1,1,0,1.93,1.58,2.58
67,3,False,0,13,0,15,1,0,28,1,forceblk4,1,1,0,0,1,0,1.5,1.56,2.57
68,3,False,1,13,1,8,1,0,10,0,forceblk4,2,2,0,0,0,0,1.57,1.38,2.38
69,3,False,1,13,0,16,0,0,16,0,forceblk4,1,1,0,1,1,0,1.29,2.62,3.62
