trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,18.5,,
2,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,3.14,,
3,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,2.18,,
4,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,2.33,,
5,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,12.03,,
6,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.88,,
7,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,3.39,,
8,1,True,0,14,0,40,1,,,,catch,0,,1,,0,0,2.42,,
9,1,True,1,13,1,12,1,,,,catch,0,,1,,0,0,1.65,,
10,1,True,1,13,0,38,0,,,,catch,0,,1,,0,0,2.79,,
11,1,True,0,14,1,16,0,,,,catch,0,,1,,0,0,1.21,,
12,1,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.4,,
13,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.53,,
14,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.44,,
15,1,True,1,14,0,31,0,,,,catch,0,,1,,0,0,1.68,,
16,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.08,,
17,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,1.77,,
18,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,1.17,,
19,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.5,,
20,1,True,1,14,0,44,0,,,,catch,0,,1,,0,0,1.52,,
21,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.35,,
22,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,1.98,,
23,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,2.8,,
24,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,2.54,,
25,1,True,1,15,0,34,0,,,,catch,0,,1,,0,0,1.97,,
26,1,True,0,15,0,34,1,,,,catch,0,,1,,0,0,1.93,,
27,1,True,1,15,0,43,0,,,,catch,0,,1,,0,0,1.93,,
28,1,True,0,15,0,43,1,,,,catch,0,,1,,0,0,2.09,,
29,1,True,0,15,0,47,1,,,,catch,0,,1,,0,0,1.9,,
30,1,True,1,14,0,49,0,,,,catch,0,,1,,0,0,2.44,,
31,2,True,1,15,0,27,0,,,,catch,0,,1,,0,0,1.64,,
32,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.31,,
33,2,True,0,15,0,36,1,,,,catch,0,,1,,0,0,1.78,,
34,2,True,0,14,0,37,1,,,,catch,0,,1,,0,0,1.42,,
35,2,True,0,14,0,49,1,,,,catch,0,,1,,0,0,1.6,,
36,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.53,,
37,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.46,,
38,2,True,0,12,0,50,1,,,,catch,0,,1,,0,0,1.46,,
39,2,True,1,12,0,49,0,,,,catch,0,,1,,0,0,1.54,,
40,2,True,1,13,1,14,1,,,,catch,0,,1,,0,0,1.36,,
41,2,True,1,13,1,26,1,,,,catch,0,,1,,0,0,1.48,,
42,2,True,1,12,0,29,0,,,,catch,0,,1,,0,0,1.81,,
43,2,True,1,13,1,11,1,,,,catch,0,,1,,0,0,1.56,,
44,2,True,0,13,0,12,1,,,,catch,0,,1,,0,0,1.26,,
45,2,True,0,12,0,25,1,,,,catch,0,,1,,0,0,1.81,,
46,2,True,1,12,0,31,0,,,,catch,0,,1,,0,0,1.88,,
47,2,True,1,13,1,32,1,,,,catch,0,,1,,0,0,1.77,,
48,2,True,0,13,0,29,1,,,,catch,0,,1,,0,0,1.31,,
49,2,True,0,12,0,38,1,,,,catch,0,,1,,0,0,1.46,,
50,2,True,0,12,0,44,1,,,,catch,0,,1,,0,0,1.44,,
51,2,True,0,11,0,47,1,,,,catch,0,,1,,0,0,1.6,,
52,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.92,,
53,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,2.12,,
54,2,True,0,10,1,25,0,,,,catch,0,,1,,0,0,1.74,,
55,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.98,,
56,2,True,1,11,1,8,1,,,,catch,0,,1,,0,0,1.77,,
57,2,True,0,10,1,19,0,,,,catch,0,,1,,0,0,2.03,,
58,2,True,0,11,0,49,1,,,,catch,0,,1,,0,0,2.37,,
59,2,True,1,11,0,50,0,,,,catch,0,,1,,0,0,1.3,,
60,2,True,0,12,0,42,1,,,,catch,0,,1,,0,0,1.57,,
61,3,False,0,12,1,9,0,1,5,0,forceblk4,2,2,0,0,1,0,4.5,5.53,6.54
62,3,False,1,12,1,4,1,0,3,0,forceblk4,1,1,0,0,0,0,4.55,2.93,3.94
63,3,False,0,12,1,3,0,0,3,1,forceblk4,2,2,0,0,1,0,4.87,3.73,4.74
64,3,False,0,12,1,7,0,1,6,0,forceblk4,1,1,0,0,1,0,1.54,1.97,2.99
65,3,False,1,12,1,5,1,1,49,1,forceblk4,2,2,0,1,1,0,1.36,2.71,3.72
66,3,False,0,12,1,11,0,1,49,0,forceblk4,1,1,0,1,0,0,2.25,2.39,3.4
67,3,False,0,12,0,29,1,0,45,1,forceblk4,2,2,0,1,0,0,1.54,2.92,3.92
68,3,False,1,12,0,47,0,0,50,0,forceblk4,1,1,0,1,1,0,1.97,2.07,3.07
69,3,False,1,12,0,13,0,1,11,1,forceblk4,2,2,0,1,1,0,1.57,1.41,2.43
70,3,False,0,12,0,20,1,0,48,1,forceblk4,1,1,0,0,1,0,1.99,2.09,3.1
71,3,False,1,12,0,36,0,0,43,0,forceblk4,1,1,0,0,0,0,4.22,1.47,2.47
72,3,False,0,12,0,21,1,0,42,1,forceblk4,2,2,0,0,1,0,1.31,1.89,2.9
73,3,False,0,12,0,45,1,0,11,1,forceblk4,2,2,0,1,0,0,1.27,2.7,3.7
74,3,False,1,12,0,49,0,0,50,0,forceblk4,2,2,0,0,0,0,2.66,1.72,2.74
75,3,False,0,12,0,9,1,0,24,1,forceblk4,1,1,0,0,1,0,1.79,1.36,2.37
76,3,False,0,12,0,42,1,0,47,1,forceblk4,1,1,0,0,1,0,2.5,1.7,2.7
77,3,False,1,12,0,35,0,0,23,0,forceblk4,2,2,0,1,1,0,1.4,3.76,4.76
78,3,False,0,12,0,36,1,0,45,1,forceblk4,1,1,0,0,1,0,1.76,1.38,2.39
79,3,False,1,12,0,44,0,0,47,0,forceblk4,2,2,0,0,0,0,1.63,2.09,3.1
80,3,False,1,12,0,12,0,1,11,1,forceblk4,2,2,0,1,1,0,1.22,1.51,2.51
81,3,False,1,12,1,24,1,1,34,1,forceblk4,1,1,0,1,1,0,1.77,1.44,2.46
82,3,False,1,12,1,31,1,1,3,1,forceblk4,1,1,0,0,0,0,1.35,3.68,4.69
