trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,1.95,,
2,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.13,,
3,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.14,,
4,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,1.64,,
5,1,True,0,15,0,40,1,,,,catch,0,,1,,0,0,1.14,,
6,1,True,1,14,0,32,0,,,,catch,0,,1,,0,0,1.0,,
7,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.1,,
8,1,True,1,15,1,35,1,,,,catch,0,,1,,0,0,1.42,,
9,1,True,0,14,0,40,1,,,,catch,0,,1,,0,0,1.17,,
10,1,True,1,14,1,36,1,,,,catch,0,,1,,0,0,1.28,,
11,1,True,0,13,0,44,1,,,,catch,0,,1,,0,0,1.27,,
12,1,True,1,13,0,38,0,,,,catch,0,,1,,0,0,1.22,,
13,1,True,1,14,1,25,1,,,,catch,0,,1,,0,0,1.19,,
14,1,True,1,14,0,25,0,,,,catch,0,,1,,0,0,1.82,,
15,1,True,1,15,1,46,1,,,,catch,0,,1,,0,0,1.36,,
16,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.31,,
17,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.49,,
18,1,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.31,,
19,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,0.88,,
20,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,0.8,,
21,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,0.86,,
22,1,True,1,15,0,33,0,,,,catch,0,,1,,0,0,1.6,,
23,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.29,,
24,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.04,,
25,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,0.94,,
26,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,1.32,,
27,1,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.54,,
28,1,True,0,13,0,22,1,,,,catch,0,,1,,0,0,1.37,,
29,1,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.25,,
30,1,True,1,12,1,18,1,,,,catch,0,,1,,0,0,1.05,,
31,2,True,0,11,0,25,1,,,,catch,0,,1,,0,0,1.54,,
32,2,True,1,11,1,28,1,,,,catch,0,,1,,0,0,1.3,,
33,2,True,0,10,0,34,1,,,,catch,0,,1,,0,0,1.08,,
34,2,True,0,10,0,28,1,,,,catch,0,,1,,0,0,1.05,,
35,2,True,0,9,1,22,0,,,,catch,0,,1,,0,0,1.04,,
36,2,True,0,10,0,26,1,,,,catch,0,,1,,0,0,1.74,,
37,2,True,1,10,1,22,1,,,,catch,0,,1,,0,0,1.0,,
38,2,True,0,9,0,29,1,,,,catch,0,,1,,0,0,1.2,,
39,2,True,1,9,1,21,1,,,,catch,0,,1,,0,0,2.5,,
40,2,True,0,8,0,37,1,,,,catch,0,,1,,0,0,1.27,,
41,2,True,1,8,1,17,1,,,,catch,0,,1,,0,0,0.83,,
42,2,True,0,7,1,18,0,,,,catch,0,,1,,0,0,1.01,,
43,2,True,0,8,0,31,1,,,,catch,0,,1,,0,0,1.02,,
44,2,True,0,8,1,28,0,,,,catch,0,,1,,0,0,1.62,,
45,2,True,0,9,1,22,0,,,,catch,0,,1,,0,0,1.0,,
46,2,True,1,10,1,14,1,,,,catch,0,,1,,0,0,1.25,,
47,2,True,0,10,0,39,1,,,,catch,0,,1,,0,0,1.24,,
48,2,True,1,9,1,27,1,,,,catch,0,,1,,0,0,1.15,,
49,2,True,0,9,0,40,1,,,,catch,0,,1,,0,0,1.19,,
50,2,True,0,8,1,23,0,,,,catch,0,,1,,0,0,1.48,,
51,2,True,0,9,0,24,1,,,,catch,0,,1,,0,0,1.84,,
52,2,True,0,9,0,27,1,,,,catch,0,,1,,0,0,1.14,,
53,2,True,1,8,1,22,1,,,,catch,0,,1,,0,0,1.12,,
54,2,True,0,8,0,28,1,,,,catch,0,,1,,0,0,2.55,,
55,2,True,0,7,1,25,0,,,,catch,0,,1,,0,0,1.38,,
56,2,True,0,8,0,47,1,,,,catch,0,,1,,0,0,1.52,,
57,2,True,1,8,1,29,1,,,,catch,0,,1,,0,0,1.58,,
58,2,True,0,7,1,32,0,,,,catch,0,,1,,0,0,1.32,,
59,2,True,1,8,1,29,1,,,,catch,0,,1,,0,0,0.96,,
60,2,True,1,8,0,32,0,,,,catch,0,,1,,0,0,1.23,,
61,3,False,0,9,1,30,0,1,30,0,forceblk4,1,1,0,0,1,0,1.65,2.13,3.13
62,3,False,1,9,1,27,1,1,27,1,forceblk4,2,2,0,1,1,0,1.01,1.32,2.33
63,3,False,1,9,1,26,1,1,26,1,forceblk4,1,1,0,1,1,0,1.18,1.19,2.2
64,3,False,1,9,1,6,1,0,3,0,forceblk4,1,1,0,0,0,0,1.7,1.45,2.45
65,3,False,0,9,0,16,1,0,15,1,forceblk4,2,2,0,1,0,0,1.21,1.71,2.71
66,3,False,0,9,0,16,1,0,16,1,forceblk4,1,1,0,0,1,0,1.56,1.98,2.98
67,3,False,1,9,1,17,1,1,17,1,forceblk4,2,2,0,0,0,0,2.33,3.35,4.37
68,3,False,1,9,0,20,0,0,19,0,forceblk4,1,1,0,1,1,0,1.6,2.01,3.01
69,3,False,1,9,1,19,1,1,19,1,forceblk4,2,2,0,1,1,0,1.46,1.12,2.13
70,3,False,1,9,1,26,1,1,26,1,forceblk4,2,2,0,1,1,0,1.26,1.39,2.4
71,3,False,0,9,1,25,0,1,25,0,forceblk4,1,1,0,0,1,0,1.04,1.3,2.31
72,3,False,1,9,1,23,1,1,35,1,forceblk4,2,2,0,1,1,0,1.0,1.6,2.61
73,3,False,0,9,0,43,1,0,49,1,forceblk4,2,2,0,0,1,0,1.67,1.39,2.4
74,3,False,1,9,1,32,1,1,41,1,forceblk4,1,1,0,1,1,0,1.29,1.05,2.06
